1,1,hokkaido,北海道
2,1,aomori,青森県
3,1,iwate,岩手県
4,1,miyagi,宮城県
5,1,akita,秋田県
6,1,yamagata,山形県
7,1,hukushima,福島県
8,3,ibaragi,茨城県
9,3,tochigi,栃木県
10,3,gunma,群馬県
11,3,saitama,埼玉県
12,3,tiba,千葉県
13,3,tokyo,東京都
14,3,kanagawa,神奈川県
15,4,niigata,新潟県
16,4,toyama,富山県
17,4,ishikawa,石川県
18,4,hukui,福井県
19,4,yamanasi,山梨県
20,4,nagano,長野県
21,4,gihu,岐阜県
22,4,shizuoka,静岡県
23,4,aichi,愛知県
24,5,mie,三重県
25,5,shiga,滋賀県
26,5,kyoto,京都府
27,5,osaka,大阪府
28,5,hyogo,兵庫県
29,5,nara,奈良県
30,5,wakayama,和歌山県
31,6,tottori,鳥取県
32,6,simane,島根県
33,6,okayama,岡山県
34,6,hiroshima,広島県
35,6,yamaguchi,山口県
36,7,tokushima,徳島県
37,7,kagawa,香川県
38,7,ehime,愛媛県
39,7,kouchi,高知県
40,8,hukuoka,福岡県
41,8,saga,佐賀県
42,8,nagasaki,長崎県
43,8,kumamoto,熊本県
44,8,ooita,大分県
45,8,miyazaki,宮崎県
46,8,kagoshima,鹿児島県
47,8,okinawa,沖縄県
